station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
72518,Albany,1999-01-15,Winter,-8.9,-17.2,-0.6,18.0,254.0,,9.0,,1014.9,
72518,Albany,1999-02-15,Winter,-6.7,-14.4,1.1,0.0,76.0,,3.6,,1026.1,
72518,Albany,1999-09-15,Autumn,19.4,15.6,22.8,2.3,0.0,,6.8,,1019.0,
72518,Albany,1999-10-15,Autumn,6.1,-1.7,13.9,0.0,0.0,,9.7,,1025.4,
72518,Albany,1999-11-15,Autumn,2.2,-0.6,5.0,0.0,0.0,302.0,27.7,,1003.6,
72518,Albany,1999-12-15,Winter,2.8,0.6,5.0,2.5,0.0,,5.8,,1019.3,
72518,Albany,2000-01-15,Winter,-13.9,-20.0,-7.8,0.0,102.0,,6.8,,1036.7,
72518,Albany,2000-02-15,Winter,-3.3,-7.2,0.6,0.0,152.0,,22.7,,1017.6,
72518,Albany,2000-09-15,Autumn,15.6,10.6,20.0,12.4,0.0,,13.0,,1003.9,
72518,Albany,2000-10-15,Autumn,15.6,8.9,22.2,0.0,0.0,,13.0,,1017.4,
72518,Albany,2000-11-15,Autumn,3.3,0.0,6.1,0.0,0.0,,19.8,,1008.9,
72518,Albany,2000-12-15,Winter,-7.2,-12.8,-1.7,0.0,51.0,,5.4,,1034.8,
72518,Albany,2001-01-15,Winter,0.0,-1.7,1.1,0.5,127.0,,4.7,,1019.3,
72518,Albany,2001-02-15,Winter,0.0,-4.4,3.9,0.0,0.0,,12.2,,1014.4,0.0
72518,Albany,2001-09-15,Autumn,12.2,4.4,19.4,0.0,0.0,,4.7,,1022.8,0.0
72518,Albany,2001-10-15,Autumn,11.7,4.4,18.9,9.9,0.0,,13.0,,1014.5,0.0
72518,Albany,2001-11-15,Autumn,10.6,4.4,16.7,0.0,0.0,,7.9,,1018.6,0.0
72518,Albany,2001-12-15,Winter,-0.6,-3.9,2.8,3.3,0.0,,15.5,,1021.0,
72518,Albany,2002-01-15,Winter,0.6,-2.8,3.3,0.8,76.0,,6.1,,1010.3,0.0
72518,Albany,2002-02-15,Winter,2.8,-1.7,6.7,0.0,0.0,172.0,24.1,,1017.7,0.0
72518,Albany,2002-09-15,Autumn,21.7,17.8,25.0,40.1,0.0,,15.5,,1016.4,0.0
72518,Albany,2002-10-15,Autumn,5.0,-1.7,11.7,0.0,0.0,,6.5,,1023.4,0.0
72518,Albany,2002-11-15,Autumn,8.9,1.7,15.6,0.0,0.0,185.0,16.6,,1014.8,0.0
72518,Albany,2002-12-15,Winter,2.8,1.7,3.3,0.0,76.0,,16.9,,1004.5,0.0
72518,Albany,2003-01-15,Winter,-11.7,-17.2,-6.7,0.0,305.0,,6.1,,1018.5,
72518,Albany,2003-02-15,Winter,-17.8,-18.9,-12.2,0.0,152.0,,13.0,,1030.8,0.0
72518,Albany,2003-09-15,Autumn,23.9,20.6,27.2,3.3,0.0,,11.5,,1019.5,0.0
72518,Albany,2003-10-15,Autumn,11.7,7.8,15.0,21.6,0.0,,27.4,,992.0,0.0
72518,Albany,2003-11-15,Autumn,-1.1,-5.0,2.8,0.0,0.0,,19.1,,1016.9,0.0
72518,Albany,2003-12-15,Winter,-2.2,-4.4,0.0,8.4,178.0,319.0,26.6,,1008.4,0.0
72518,Albany,2004-01-15,Winter,-19.4,-22.8,-16.7,0.5,51.0,,22.7,,1013.6,0.0
72518,Albany,2004-02-15,Winter,-8.3,-16.1,-1.1,0.0,152.0,,11.9,,1024.7,0.0
72518,Albany,2004-09-15,Autumn,18.3,13.3,22.8,0.0,0.0,,13.0,,1024.9,0.0
72518,Albany,2004-10-15,Autumn,13.9,11.1,16.1,7.4,0.0,,8.3,,1000.6,0.0
72518,Albany,2004-11-15,Autumn,5.6,-1.1,11.7,0.0,0.0,299.0,15.8,,1032.6,
72518,Albany,2004-12-15,Winter,-7.2,-10.6,-3.9,0.0,0.0,,12.6,,1028.7,0.0
72518,Albany,2005-01-15,Winter,-6.1,-9.4,-3.3,0.0,0.0,,11.5,,1039.3,0.0
72518,Albany,2005-02-15,Winter,6.1,2.2,10.0,2.0,0.0,,9.0,,1015.5,0.0
72518,Albany,2005-09-15,Autumn,22.5,19.4,25.6,11.4,0.0,,5.0,,,
72518,Albany,2005-10-15,Autumn,14.3,11.1,18.3,5.6,0.0,,16.6,,,
72518,Albany,2005-11-15,Autumn,5.5,1.7,11.7,12.2,0.0,,8.3,,1025.8,
72518,Albany,2005-12-15,Winter,-10.7,-16.1,-6.1,0.3,51.0,,6.1,,1027.6,
72518,Albany,2006-01-15,Winter,-9.7,-15.6,-4.4,1.5,76.0,318.0,36.0,,1005.1,
72518,Albany,2006-02-15,Winter,4.6,-0.6,12.8,0.0,0.0,,13.3,,1020.0,
72518,Albany,2006-09-15,Autumn,18.7,15.0,22.8,2.5,0.0,,4.7,,,64.0
72518,Albany,2006-10-15,Autumn,4.8,-1.7,11.1,0.0,0.0,,5.8,,1016.9,167.0
72518,Albany,2006-11-15,Autumn,10.1,7.8,12.8,0.3,0.0,,1.1,,,0.0
72518,Albany,2006-12-15,Winter,7.5,3.9,9.4,1.0,0.0,,15.5,,,80.0
72518,Albany,2007-01-15,Winter,-0.1,-3.9,3.3,18.8,0.0,,11.5,,,0.0
72518,Albany,2007-02-15,Winter,-12.4,-14.4,-10.6,0.0,330.0,,26.3,,1007.0,500.0
72518,Albany,2007-09-15,Autumn,14.9,9.4,19.4,6.9,0.0,,16.2,,1014.5,248.0
72518,Albany,2007-10-15,Autumn,12.2,8.3,16.7,0.0,0.0,,12.2,,,425.0
72518,Albany,2007-11-15,Autumn,7.6,3.9,12.8,37.6,0.0,,14.0,,,0.0
72518,Albany,2007-12-15,Winter,-8.9,-11.7,-2.2,0.3,152.0,5.0,13.3,,1032.3,115.0
72518,Albany,2008-01-15,Winter,-2.5,-8.3,-0.6,0.3,51.0,,7.6,,,
72518,Albany,2008-02-15,Winter,-1.5,-7.2,3.9,0.0,51.0,223.0,19.8,,1017.6,
72518,Albany,2008-09-15,Autumn,22.2,13.3,27.8,0.0,0.0,275.0,21.6,,1006.5,
72518,Albany,2008-10-15,Autumn,13.3,8.3,18.3,0.0,0.0,,5.0,,1019.4,
72518,Albany,2008-11-15,Autumn,15.7,13.3,20.0,10.7,0.0,170.0,14.8,,,
72518,Albany,2008-12-15,Winter,8.6,2.2,14.4,4.8,0.0,180.0,24.5,,1021.9,
72518,Albany,2009-01-15,Winter,-13.8,-18.9,-8.9,0.0,102.0,,6.8,,,
72518,Albany,2009-02-15,Winter,-3.1,-7.2,1.7,0.0,0.0,298.0,16.6,,1018.1,
72518,Albany,2009-09-15,Autumn,17.8,11.7,24.4,0.0,0.0,,9.7,,,
72518,Albany,2009-10-15,Autumn,1.9,-2.2,5.6,0.0,0.0,,7.9,,1020.1,
72518,Albany,2009-11-15,Autumn,11.7,9.4,16.1,0.3,0.0,,4.3,,,
72518,Albany,2009-12-15,Winter,3.0,0.0,5.0,0.3,76.0,,15.8,,1012.9,
72518,Albany,2010-01-15,Winter,1.7,-0.6,4.4,0.0,0.0,233.0,14.0,,1019.6,
72518,Albany,2010-02-15,Winter,-1.1,-5.6,3.3,0.0,0.0,,9.7,,1005.4,
72518,Albany,2010-09-15,Autumn,13.2,8.3,18.9,0.3,0.0,,15.5,,1018.3,
72518,Albany,2010-10-15,Autumn,8.8,7.2,10.0,15.2,0.0,,19.8,,,
72518,Albany,2010-11-15,Autumn,8.9,5.6,10.6,0.0,0.0,,7.2,,1017.3,
72518,Albany,2010-12-15,Winter,-9.0,-14.4,-6.1,0.0,51.0,291.0,16.9,,1005.6,
72518,Albany,2011-01-15,Winter,-10.1,-20.0,-1.1,0.0,229.0,,11.5,,1017.9,
72518,Albany,2011-02-15,Winter,-7.7,-11.7,-1.7,0.0,305.0,,23.0,,1025.3,
72518,Albany,2011-09-15,Autumn,13.9,7.8,17.2,6.9,0.0,,11.5,,1014.8,
72518,Albany,2011-10-15,Autumn,14.1,10.6,17.2,2.5,0.0,207.0,19.8,,999.2,
72518,Albany,2011-11-15,Autumn,12.0,5.0,16.1,0.0,0.0,,8.6,,1009.3,
72518,Albany,2011-12-15,Winter,7.6,5.0,10.0,4.1,0.0,174.0,27.0,,1012.7,
72518,Albany,2012-01-15,Winter,-14.2,-17.8,-10.6,0.0,25.0,294.0,16.2,,1029.5,
72518,Albany,2012-02-15,Winter,2.7,-0.6,6.1,0.0,0.0,,9.4,,1021.9,
72518,Albany,2012-09-15,Autumn,16.6,11.1,21.1,3.3,0.0,292.0,16.6,,1019.5,
72518,Albany,2012-10-15,Autumn,16.2,11.1,18.9,1.8,0.0,,16.2,,1005.7,
